acpi 1.7-3
acpid 2.0.32-2
alsa-plugins 1:1.2.2-2
alsa-utils 1.2.4-2
amd-ucode 20210426.r1905.fa0efef-1
android-tools 31.0.0-2
arandr 0.1.10-5
arduino-ide 2.0.0-5
automake 1.16.3-1
b43-fwcutter 019-3
bash 5.1.004-1
binutils 2.36.1-2
bluez 5.58-1
bluez-plugins 5.58-1
bluez-utils 5.58-1
bpytop 1.0.65-1
brave 1.23.71-1
btrfs-progs 5.11.1-1
bzip2 1.0.8-4
clang 11.1.0-1
coreutils 8.32-1
cpupower 5.12-1
crda 4.14-4
cronie 1.5.7-2
cryptsetup 2.3.5-4
cups 1:2.3.3op2-3
dash 0.5.11.3-1
device-mapper 2.03.11-5
devour 12-1
dhclient 4.4.2-2
dhcpcd 9.4.0-1
diffutils 3.7-3
dmraid 1.0.0.rc16.3-13
dosfstools 4.2-1
e2fsprogs 1.46.2-1
eagle 9.6.2-1
ecryptfs-utils 111-4
efibootmgr 17-2
etcher 1.5.119-1
exa 0.10.1-1
exfat-utils 1.3.0-2
f2fs-tools 1.14.0-1
fakeroot 1.25.3-2
feh 3.6.3-1
ffmpeg 2:4.4-2
file 5.40-2
file-roller 3.40.0-1
filesystem 2021.01.19-1
findutils 4.8.0-1
firefox 88.0.1-1
fish 3.2.1-1
flameshot 0.9.0-1
gawk 5.1.0-1
gcc 10.2.0-6
gcc-libs 10.2.0-6
gettext 0.21-1
ghostscript 9.54.0-2
glib2-docs 2.68.1-1
glibc 2.33-4
gnome-disk-utility 40.1-1
gnuplot 5.4.1-1
gobject-introspection 1.68.0-1
godot 3.3-1
graphviz 2.47.1-1
grep 3.6-1
groff 1.22.4-5
grub 2.04-22
gsfonts 20200910-2
gstreamer 1.18.4-1
gtk-doc 1.33.2-1
gts 0.7.6.121130-2
gzip 1.10-3
hplip 1:3.21.2-1
inetutils 1.9.4-9
intel-gpu-tools 1.25-2
intel-media-driver 21.1.3-1
intel-ucode 20210216-1
intel-undervolt 1.7-2
iproute2 5.12.0-1
iputils 20210202-1
itstool 1:2.0.6-2
jetbrains-toolbox 1.20.8352-2
jfsutils 1.1.15-7
less 1:581.2-1
libtool 2.4.6+42+gb88cebd5-14
libva-mesa-driver 21.0.3-3
licenses 20200427-1
linux511 5.11.18-1
linux511-acpi_call 1.1.0-23
linux511-headers 5.11.18-1
logrotate 3.18.0-1
lvm2 2.03.11-5
lxsession 1:0.5.5-1
lyx 2.3.6.1-1
make 4.3-3
man-db 2.9.4-1
man-pages 5.11-1
manjaro-firmware 20160419-1
manjaro-release 21.0.4-1
manjaro-system 20210412-1
mdadm 4.1-2
memtest86+ 5.01-4
mesa-vdpau 21.0.3-3
minicom 2.8-1
mkinitcpio-openswap 0.1.0-3
mpv 1:0.33.1-2
nemo 4.8.6-1
neofetch 7.1.0-2
nerd-fonts-roboto-mono 2.1.0-1
nerd-fonts-ubuntu-mono 2.1.0-2
